sample,label
11_43_1941911,3
11_43_1941940,2
11_43_1941946,1
11_43_1941962,2
11_43_1942047,4
11_43_1942183,4
11_44_2380707,1
11_44_2470700,5
11_44_2600697,5
11_44_2600739,4
11_44_2600757,4
11_44_2690639,4
11_44_2690662,3
11_44_2690675,4
11_44_2690702,4
11_44_2711035,4
11_44_2711287,3
11_44_2711330,2
11_44_2711340,4
11_44_2711362,4
11_44_2711379,1
11_44_2711383,4
11_44_2711390,4
11_44_2711416,2
11_44_2711417,2
11_44_2711420,3
11_44_2711426,3
11_44_2711428,4
11_44_2711431,2
11_44_2711449,3
11_44_2711455,4
11_44_2711470,3
11_44_2711471,3
11_44_2711474,4
11_44_2711481,4
11_44_2711484,3
11_44_2711485,2
11_44_2711486,3
11_44_2711494,4
11_44_2711495,2
11_44_2711509,2
11_44_2711517,4
11_44_2711526,3
11_44_2711536,3
11_44_2711540,4
11_44_2711557,2
11_44_2711570,4
11_44_2711571,3
11_44_2711572,4
11_44_2711586,2
11_44_2711592,3
11_44_2711601,4
11_44_2711611,3
11_44_2711629,2
11_44_2711638,2
11_44_2711650,3
11_44_2711656,3
11_44_2711661,3
11_44_2711666,4
11_44_2711668,2
11_44_2711684,3
11_44_2711697,2
11_44_2711699,3
11_44_2711756,3
11_44_2711761,4
11_44_2711849,3
11_44_2712211,5
11_44_2800548,4
11_44_2800566,4
11_44_2800581,3
11_44_2800583,3
11_44_2800610,4
11_44_2800613,3
11_44_2800615,4
11_44_2800626,4
11_44_2800630,3
11_44_2800668,4
11_44_2800692,4
11_44_2800709,3
11_44_2800716,4
11_44_2800724,4
11_44_2800739,3
11_44_2800743,2
11_44_2820655,4
11_44_2820671,3
11_44_2820692,3
11_44_2820695,3
11_44_2820702,3
11_44_2820705,3
11_44_2820712,3
11_44_2820713,3
11_44_2820756,3
11_44_2820761,4
11_44_2821077,2
5_17_110314,2
5_17_110332,4
5_17_110448,5
5_17_111286,1
5_17_111390,1
5_17_111402,1
5_17_140978,2
5_17_141259,2
5_17_150483,2
5_17_190158,5
5_17_190490,1
5_17_190494,1
5_17_190502,1
5_17_220578,2
5_17_220635,2
5_17_220709,2
5_17_220998,2
5_17_221154,2
5_17_221262,2
5_17_221284,2
5_17_270915,1
5_17_271235,3
5_17_280190,3
5_17_300368,2
5_17_300381,2
5_17_300784,2
5_17_300821,2
5_17_300877,2
5_17_300882,2
5_17_300934,4
5_17_301029,1
5_17_352110,2
5_17_352142,2
5_17_360450,1
5_17_360739,2
5_17_360869,1
5_17_360886,2
5_17_360910,2
5_17_360936,1
5_17_361062,2
5_17_361064,2
5_17_361096,2
5_17_371675,3
5_17_371720,3
5_17_371774,4
5_17_371777,4
5_17_372122,4
5_17_372174,2
5_17_372179,4
5_17_380387,1
5_18_750657,4
5_18_750665,4
5_18_750697,2
5_18_750723,2
5_18_751336,1
5_18_751365,1
5_18_751443,2
5_18_751464,2
5_18_751479,2
5_18_751481,1
5_18_751514,1
5_18_781469,1
5_18_790438,1
5_18_790439,2
5_18_831298,2
5_18_831299,1
5_18_831314,4
5_18_831324,1
5_18_831348,1
5_18_860620,4
5_18_860913,1
5_18_860932,1
5_18_861116,2
5_18_861261,2
5_18_861375,4
5_18_911483,3
5_18_911497,4
5_18_911535,1
5_18_911676,1
5_18_911745,1
5_18_911850,1
5_18_911991,3
5_18_920292,3
5_18_940654,3
5_18_940823,3
5_18_991953,1
5_18_992148,2
5_18_1000302,3
5_18_1000541,1
5_18_1000576,1
5_18_1000669,2
5_18_1000788,1
5_18_1011671,3
5_18_1011723,4
5_18_1011851,2
5_18_1012022,2
5_18_1012128,1
5_18_1012155,2
5_18_1012188,2
5_18_1012301,1
5_18_1012307,4
5_18_1012356,4
5_18_1020180,4
5_19_1400657,1
5_19_1430943,2
5_19_1430972,1
5_19_1431185,1
5_19_1431263,2
5_19_1431273,2
5_19_1431399,2
5_19_1431426,2
5_19_1431555,1
5_19_1431917,2
5_19_1440257,2
5_19_1440282,2
5_19_1440328,2
5_19_1491135,1
5_19_1491265,5
5_19_1491367,1
5_19_1491369,1
5_19_1491406,2
5_19_1491407,5
5_19_1491429,2
5_19_1491431,2
5_19_1491547,2
5_19_1521099,2
5_19_1521167,1
5_19_1521287,2
5_19_1530613,5
5_19_1590312,3
5_19_1590342,3
5_19_1590377,2
5_19_1590435,2
5_19_1590526,2
5_19_1590533,2
5_19_1590570,1
5_19_1590674,1
5_19_1590860,4
5_19_1590962,1
5_19_1611723,1
5_19_1611900,1
5_19_1611913,1
5_19_1611984,1
5_19_1612025,2
5_19_1620808,5
5_19_1681275,3
5_19_1681286,1
5_19_1681644,2
5_19_1681710,3
5_19_1681847,1
5_19_1682108,4
5_19_1682319,1
5_19_1682348,1
5_19_1682396,2
5_19_1682423,2
5_19_1682442,1
5_19_1682443,2
5_19_1682500,1
5_19_1690367,1
5_19_1701208,2
5_19_1701216,1
5_19_1701411,1
5_19_1701463,2
5_19_1701615,2
5_19_1701632,2
5_19_1701711,2
5_19_1701810,2
5_19_1710351,1
5_20_2030276,2
5_20_2121703,2
5_20_2130102,2
5_20_2130113,2
5_20_2130468,2
5_20_2130523,1
5_20_2130541,2
5_20_2130575,1
5_20_2130595,2
5_20_2130655,2
5_20_2160453,4
5_20_2161452,2
5_20_2220385,3
5_20_2220418,3
5_20_2220516,2
5_20_2220517,1
5_20_2220519,2
5_20_2220536,3
5_20_2220552,2
5_20_2241327,1
5_20_2250364,4
5_20_2250629,2
5_20_2250717,1
5_20_2251181,2
5_20_2251276,5
5_20_2310365,3
5_20_2310576,1
5_20_2310603,3
5_20_2310659,1
5_20_2310695,3
5_20_2310717,4
5_20_2310842,3
5_20_2310856,4
5_20_2310869,4
5_20_2310882,4
5_20_2311004,1
5_20_2311028,4
5_20_2311163,2
5_20_2311180,1
5_20_2311211,2
5_20_2331247,3
5_20_2331319,4
5_20_2331338,2
5_20_2331363,3
5_20_2331382,2
5_20_2331388,3
5_20_2331405,2
5_20_2331415,1
5_20_2331428,2
5_20_2331430,3
5_20_2331436,3
5_20_2331456,2
5_20_2331467,1
5_20_2331469,3
5_20_2331505,2
5_20_2331510,3
5_20_2340480,1
5_20_2340519,2
5_20_2400888,1
5_20_2401081,1
5_20_2401166,4
5_20_2401242,2
5_20_2401294,2
5_20_2401297,2
5_20_2401415,2
5_20_2401450,2
5_20_2412260,1
5_20_2420128,4
5_20_2420371,1
5_20_2420398,3
5_20_2420471,4
5_20_2420488,3
5_20_2420651,3
5_20_2420670,3
5_20_2420677,4
5_20_2420702,2
5_20_2420809,3
5_20_2421431,2
5_20_2421702,1
14_53_380866,3
14_53_380931,2
14_53_381033,4
14_53_401342,2
14_53_401359,4
14_53_401410,3
14_53_401465,3
14_53_401516,3
14_54_820711,1
14_54_820731,1
14_54_830078,1
14_54_1061423,1
14_54_1151220,4
14_54_1151349,3
14_54_1281025,2
14_54_1281072,2
14_54_1281284,4
14_55_1700430,1
14_55_1700564,1
14_55_1720922,1
14_55_1730122,1
14_55_1810924,2
14_55_1941364,1
14_55_1941515,1
14_55_2031474,3
14_55_2031482,1
14_55_2051496,3
14_55_2051600,4
14_55_2051656,4
14_55_2051697,4
14_55_2051711,2
14_55_2051720,3
14_55_2051737,3
14_55_2051766,4
14_55_2051794,3
14_55_2051796,3
14_55_2051805,2
14_55_2141093,3
14_55_2160987,3
14_56_2600817,1
14_56_2931662,4
14_56_2931745,4
14_56_2931765,3
14_56_2931814,4
14_56_2931818,3
14_56_3021083,4
14_56_3021111,4
14_56_3021120,4
14_56_3041184,4
14_56_3041208,4
10_37_40212,1
10_37_70533,1
10_37_70632,1
10_37_70636,1
10_37_261377,4
10_37_261449,3
10_37_261557,4
10_37_261574,3
10_37_261617,4
10_37_261888,1
10_37_270222,1
10_37_341143,4
10_37_341508,4
10_37_361542,3
10_37_361819,3
10_37_361858,2
10_37_361881,3
10_37_361919,3
10_37_361925,3
10_37_361930,3
10_37_361941,3
10_37_361971,4
