sample,label
11_43_1941704,3
11_43_1941705,2
11_43_1941706,5
11_43_1941708,4
11_43_1941715,4
11_43_1941719,4
11_43_1941730,5
11_43_1941733,5
11_43_1941734,4
11_43_1941747,4
11_43_1941753,4
11_43_1941754,3
11_43_1941760,5
11_43_1941765,4
11_43_1941769,3
11_43_1941777,3
11_43_1941784,4
11_43_1941785,3
11_43_1941797,3
11_43_1941811,3
11_43_1941815,2
11_43_1941823,5
11_43_1941826,2
11_43_1941829,5
11_43_1941833,4
11_43_1941844,5
11_43_1941846,3
11_43_1941847,5
11_43_1941858,5
11_43_1941863,2
11_43_1941875,2
11_43_1941886,4
11_43_1941888,4
11_43_1941892,4
11_43_1941893,4
11_43_1941897,3
11_43_1941906,3
11_43_1941909,5
11_43_1941911,5
11_43_1941940,3
11_43_1941946,2
11_43_1941962,3
11_43_1942047,4
11_43_1942172,1
11_43_1942183,4
11_43_2261957,1
11_44_2380707,2
11_44_2470537,1
11_44_2470700,1
11_44_2480807,1
11_44_2571137,1
11_44_2581306,1
11_44_2600697,1
11_44_2600739,4
11_44_2600757,4
11_44_2690639,4
11_44_2690662,5
11_44_2690675,4
11_44_2690702,4
11_44_2711035,4
11_44_2711287,5
11_44_2711330,4
11_44_2711340,4
11_44_2711362,4
11_44_2711379,2
11_44_2711383,4
11_44_2711390,4
11_44_2711416,3
11_44_2711417,3
11_44_2711420,5
11_44_2711426,5
11_44_2711428,4
11_44_2711431,3
11_44_2711445,2
11_44_2711449,5
11_44_2711455,4
11_44_2711470,5
11_44_2711471,5
11_44_2711474,4
11_44_2711481,4
11_44_2711484,5
11_44_2711485,3
11_44_2711486,5
11_44_2711494,4
11_44_2711495,3
11_44_2711503,3
11_44_2711509,3
11_44_2711517,4
11_44_2711526,5
11_44_2711536,5
11_44_2711540,4
11_44_2711557,3
11_44_2711570,4
11_44_2711571,5
11_44_2711572,4
11_44_2711586,3
11_44_2711592,5
11_44_2711601,4
11_44_2711611,5
11_44_2711629,3
11_44_2711638,3
11_44_2711650,5
11_44_2711656,5
11_44_2711661,5
11_44_2711666,3
11_44_2711668,3
11_44_2711684,5
11_44_2711697,3
11_44_2711699,5
11_44_2711756,5
11_44_2711761,4
11_44_2711849,5
11_44_2712211,1
11_44_2800548,5
11_44_2800566,4
11_44_2800581,5
11_44_2800583,4
11_44_2800610,4
11_44_2800613,5
11_44_2800615,4
11_44_2800626,4
11_44_2800630,4
11_44_2800643,3
11_44_2800668,4
11_44_2800692,4
11_44_2800709,5
11_44_2800716,4
11_44_2800724,3
11_44_2800739,5
11_44_2800743,3
11_44_2820655,4
11_44_2820671,5
11_44_2820692,5
11_44_2820695,5
11_44_2820702,5
11_44_2820705,5
11_44_2820712,5
11_44_2820713,5
11_44_2820756,5
11_44_2820761,4
11_44_2820770,2
11_44_2821077,3
5_17_110314,3
5_17_110332,4
5_17_110393,2
5_17_110448,1
5_17_111286,2
5_17_111390,2
5_17_111402,2
5_17_140978,3
5_17_141259,3
5_17_141825,1
5_17_150483,3
5_17_190158,1
5_17_190490,2
5_17_190494,2
5_17_190502,2
5_17_210726,1
5_17_220578,3
5_17_220635,3
5_17_220709,3
5_17_220998,3
5_17_221154,3
5_17_221262,3
5_17_221284,3
5_17_270915,2
5_17_271235,5
5_17_280190,5
5_17_300368,2
5_17_300381,3
5_17_300668,1
5_17_300784,3
5_17_300821,3
5_17_300877,3
5_17_300882,3
5_17_300934,4
5_17_301029,2
5_17_352110,3
5_17_352142,3
5_17_360450,2
5_17_360739,3
5_17_360869,2
5_17_360886,3
5_17_360910,3
5_17_360936,2
5_17_361062,3
5_17_361064,3
5_17_361096,3
5_17_371675,5
5_17_371720,5
5_17_371774,4
5_17_371777,4
5_17_372122,4
5_17_372174,3
5_17_372179,4
5_17_380387,2
5_18_690852,1
5_18_750657,4
5_18_750665,4
5_18_750697,3
5_18_750723,3
5_18_751336,2
5_18_751365,2
5_18_751443,3
5_18_751464,3
5_18_751479,3
5_18_751481,2
5_18_751514,2
5_18_781469,2
5_18_790438,2
5_18_790439,3
5_18_831298,3
5_18_831299,2
5_18_831314,5
5_18_831324,2
5_18_831348,2
5_18_860620,2
5_18_860913,2
5_18_860932,2
5_18_861116,3
5_18_861261,3
5_18_861375,3
5_18_861399,2
5_18_911483,5
5_18_911497,4
5_18_911535,2
5_18_911676,2
5_18_911745,2
5_18_911837,4
5_18_911850,2
5_18_911991,5
5_18_920292,5
5_18_921523,1
5_18_940654,5
5_18_940823,5
5_18_990982,2
5_18_991953,2
5_18_992148,3
5_18_1000302,5
5_18_1000529,4
5_18_1000541,2
5_18_1000576,2
5_18_1000669,3
5_18_1000788,2
5_18_1011671,5
5_18_1011723,4
5_18_1011851,2
5_18_1012022,3
5_18_1012128,2
5_18_1012155,3
5_18_1012188,3
5_18_1012298,5
5_18_1012301,2
5_18_1012307,4
5_18_1012356,4
5_18_1020180,4
5_18_1021341,2
5_18_1081054,1
5_19_1320359,1
5_19_1400657,2
5_19_1401161,1
5_19_1430943,3
5_19_1430972,2
5_19_1431185,2
5_19_1431263,3
5_19_1431273,3
5_19_1431399,3
5_19_1431426,2
5_19_1431555,2
5_19_1431917,3
5_19_1440257,3
5_19_1440282,3
5_19_1440328,3
5_19_1491135,2
5_19_1491265,1
5_19_1491345,4
5_19_1491367,2
5_19_1491369,2
5_19_1491406,3
5_19_1491407,1
5_19_1491429,3
5_19_1491431,3
5_19_1491547,3
5_19_1500329,5
5_19_1521099,3
5_19_1521167,2
5_19_1521287,3
5_19_1521315,5
5_19_1530187,1
5_19_1530613,1
5_19_1530894,2
5_19_1590312,5
5_19_1590342,5
5_19_1590377,3
5_19_1590427,4
5_19_1590435,4
5_19_1590526,3
5_19_1590533,3
5_19_1590570,5
5_19_1590674,2
5_19_1590860,4
5_19_1590900,1
5_19_1590962,2
5_19_1611723,2
5_19_1611900,2
5_19_1611913,2
5_19_1611931,1
5_19_1611984,2
5_19_1612025,3
5_19_1612090,2
5_19_1620649,3
5_19_1620808,1
5_19_1672269,2
5_19_1680442,5
5_19_1681275,5
5_19_1681286,2
5_19_1681644,3
5_19_1681710,5
5_19_1681847,2
5_19_1682108,4
5_19_1682319,2
5_19_1682348,2
5_19_1682396,3
5_19_1682423,3
5_19_1682442,2
5_19_1682443,3
5_19_1682500,2
5_19_1690333,5
5_19_1690367,2
5_19_1701192,5
5_19_1701208,3
5_19_1701216,2
5_19_1701411,2
5_19_1701463,3
5_19_1701615,3
5_19_1701632,2
5_19_1701711,3
5_19_1701810,3
5_19_1710351,2
5_20_2030276,3
5_20_2060458,1
5_20_2121703,3
5_20_2130102,3
5_20_2130113,3
5_20_2130468,3
5_20_2130523,2
5_20_2130541,3
5_20_2130575,2
5_20_2130595,3
5_20_2130655,3
5_20_2160453,4
5_20_2161452,3
5_20_2220385,5
5_20_2220418,5
5_20_2220516,3
5_20_2220517,2
5_20_2220519,3
5_20_2220536,5
5_20_2220552,3
5_20_2241327,2
5_20_2250364,4
5_20_2250629,3
5_20_2250717,2
5_20_2251181,3
5_20_2251276,1
5_20_2251360,3
5_20_2301479,3
5_20_2310359,3
5_20_2310365,5
5_20_2310576,2
5_20_2310603,5
5_20_2310659,2
5_20_2310695,5
5_20_2310717,4
5_20_2310842,5
5_20_2310856,4
5_20_2310869,4
5_20_2310882,4
5_20_2311004,2
5_20_2311028,4
5_20_2311163,3
5_20_2311180,2
5_20_2311211,3
5_20_2311319,5
5_20_2331247,5
5_20_2331319,4
5_20_2331338,3
5_20_2331363,5
5_20_2331382,3
5_20_2331388,5
5_20_2331405,3
5_20_2331415,2
5_20_2331428,3
5_20_2331430,5
5_20_2331436,5
5_20_2331456,3
5_20_2331467,2
5_20_2331469,5
5_20_2331505,2
5_20_2331510,5
5_20_2340480,2
5_20_2340508,3
5_20_2340519,2
5_20_2400860,5
5_20_2400888,2
5_20_2401081,2
5_20_2401166,4
5_20_2401242,3
5_20_2401294,3
5_20_2401297,3
5_20_2401415,3
5_20_2401427,4
5_20_2401450,3
5_20_2412260,2
5_20_2420128,4
5_20_2420371,2
5_20_2420398,5
5_20_2420471,4
5_20_2420488,5
5_20_2420651,5
5_20_2420670,5
5_20_2420677,4
5_20_2420702,3
5_20_2420809,5
5_20_2421431,3
5_20_2421702,2
5_20_2511244,2
14_53_40300,3
14_53_40305,3
14_53_70763,2
14_53_80639,2
14_53_190891,2
14_53_380866,4
14_53_380931,3
14_53_381033,4
14_53_401342,3
14_53_401359,4
14_53_401410,5
14_53_401465,5
14_53_401516,5
14_54_820711,2
14_54_820731,2
14_54_830078,2
14_54_950857,2
14_54_1031088,1
14_54_1061423,2
14_54_1151220,4
14_54_1151349,3
14_54_1281025,3
14_54_1281072,3
14_54_1281284,4
14_55_1690146,3
14_55_1700430,2
14_55_1700564,2
14_55_1720922,2
14_55_1730122,2
14_55_1810269,3
14_55_1810924,3
14_55_1810969,1
14_55_1820805,4
14_55_1931873,1
14_55_1941364,2
14_55_1941515,2
14_55_2031474,5
14_55_2031482,4
14_55_2050718,1
14_55_2051496,5
14_55_2051600,4
14_55_2051656,4
14_55_2051697,4
14_55_2051711,3
14_55_2051720,5
14_55_2051737,5
14_55_2051766,4
14_55_2051794,5
14_55_2051796,5
14_55_2051805,3
14_55_2052035,1
14_55_2141093,5
14_55_2160987,5
14_56_2600432,3
14_56_2600817,2
14_56_2600836,2
14_56_2931662,4
14_56_2931745,4
14_56_2931765,5
14_56_2931814,4
14_56_2931818,5
14_56_3021083,4
14_56_3021111,4
14_56_3021120,4
14_56_3021141,3
14_56_3041184,4
14_56_3041208,4
10_37_30508,2
10_37_40212,2
10_37_70457,2
10_37_70533,2
10_37_70632,2
10_37_70636,2
10_37_131456,2
10_37_240867,4
10_37_261377,4
10_37_261449,5
10_37_261478,3
10_37_261498,2
10_37_261557,4
10_37_261574,5
10_37_261617,4
10_37_261805,5
10_37_261888,2
10_37_270143,2
10_37_270222,2
10_37_341143,4
10_37_341508,4
10_37_361542,5
10_37_361819,5
10_37_361858,5
10_37_361881,5
10_37_361919,5
10_37_361925,5
10_37_361930,5
10_37_361941,5
10_37_361971,4
10_37_361972,5
10_37_361978,3
10_37_361979,5
10_37_361992,5
10_37_362020,4
10_37_362069,3
10_37_362116,3
10_38_770665,2
10_38_871158,2
10_38_871220,2
10_38_871254,3
10_38_871282,3
10_38_871295,3
10_38_880125,2
10_38_941149,4
10_38_941389,4
10_38_941406,3
10_38_961696,3
10_38_970311,2
10_38_970377,3
10_38_1040672,1
10_38_1041002,4
10_38_1041144,5
10_38_1041149,5
10_38_1041150,5
10_38_1041151,4
10_38_1041162,4
10_38_1041165,5
10_38_1041169,4
10_38_1041176,5
10_38_1041179,5
10_38_1041184,4
10_38_1041196,5
10_38_1041214,5
10_38_1041228,5
10_38_1041232,4
10_38_1041243,5
10_38_1041279,4
10_38_1041283,4
10_38_1041300,4
10_38_1041311,5
10_38_1041318,5
10_38_1041338,5
10_38_1041339,5
10_38_1041342,5
10_38_1041355,4
10_38_1041368,5
10_38_1041378,3
10_38_1041382,4
10_38_1041393,2
10_38_1041402,5
10_38_1041407,5
10_38_1041428,3
10_38_1041435,4
10_38_1041439,4
10_38_1041461,4
10_38_1041463,4
10_38_1041488,5
10_38_1041624,4
10_38_1062314,5
10_38_1062316,5
10_38_1062384,5
10_38_1062402,5
10_38_1062411,5
10_38_1062425,5
10_38_1062439,2
10_38_1062441,4
10_38_1062468,5
10_38_1062470,5
10_38_1062473,5
10_38_1062476,4
10_38_1062479,2
10_38_1062482,5
10_38_1062504,5
10_38_1062508,5
10_38_1062509,5
10_38_1062519,5
