sample,label
11_41_40289,1
11_41_50139,2
11_41_50301,2
11_41_50325,2
11_41_50351,2
11_41_50363,2
11_41_50376,2
11_41_50384,2
11_41_50404,2
11_41_50419,2
11_41_50442,2
11_41_50454,2
11_41_50482,2
11_41_50522,2
11_41_50536,2
11_41_50645,2
11_41_50682,2
11_41_50799,2
11_41_50843,2
11_41_60307,2
11_41_60323,2
11_41_60337,2
11_41_60385,2
11_41_60398,2
11_41_60425,2
11_41_60431,2
11_41_60432,2
11_41_60441,2
11_41_60452,2
11_41_60461,1
11_41_60476,2
11_41_60478,2
11_41_60493,2
11_41_60504,2
11_41_60508,2
11_41_60529,2
11_41_60564,2
11_41_60589,2
11_41_70216,2
11_41_70264,2
11_41_70447,2
11_41_70458,3
11_41_70719,4
11_41_70965,5
11_41_150324,5
11_41_150702,5
11_41_150739,5
11_41_150749,5
11_41_150759,5
11_41_160600,5
11_41_160624,1
11_41_170582,1
11_41_181302,5
11_41_181323,5
11_41_181326,5
11_41_190111,5
11_41_190135,5
11_41_190138,5
11_41_190383,5
11_41_261500,5
11_41_280406,1
11_41_281368,1
11_41_291348,5
11_41_291356,5
11_41_380653,5
11_41_380694,5
11_41_380735,5
11_41_380739,5
11_41_380753,5
11_41_380754,5
11_41_380762,5
11_41_380763,5
11_41_380770,5
11_41_380778,5
11_41_380784,5
11_41_380793,5
11_41_380794,5
11_41_380799,5
11_41_380803,5
11_41_380814,5
11_41_380815,5
11_41_380817,5
11_41_380830,5
11_41_380835,5
11_41_380838,5
11_41_380848,5
11_41_380855,5
11_41_380863,5
11_41_380866,2
11_41_380868,5
11_41_380873,5
11_41_380889,5
11_41_380891,5
11_41_380918,5
11_41_380935,5
11_41_380938,5
11_41_380944,5
11_41_380945,5
11_41_380953,5
11_41_391565,1
11_41_391592,3
11_41_392030,1
11_41_401378,5
11_41_401483,5
11_41_401499,5
11_41_401501,5
11_41_401503,5
11_41_401504,5
11_41_401508,5
11_41_401512,5
11_41_401517,5
11_41_401521,5
11_41_401522,5
11_41_401525,5
11_41_401542,5
11_41_401552,5
11_41_401555,5
11_41_401565,5
11_41_401572,5
11_41_401577,5
11_41_401582,5
11_41_401588,5
11_41_401594,5
11_41_401596,5
11_41_401599,5
11_41_401602,5
11_41_401607,5
11_41_401615,5
11_41_401624,5
11_41_401627,5
11_41_401628,5
11_41_401629,5
11_41_401630,5
11_41_401631,5
11_41_401633,5
11_41_401634,5
11_41_401636,5
11_41_401639,5
11_41_401641,5
11_41_401642,5
11_41_401665,5
11_41_401667,5
11_41_401668,5
11_41_401670,5
11_41_401672,5
11_41_401673,5
11_41_401680,5
11_41_401682,5
11_41_401686,5
11_41_401688,5
11_41_401690,5
11_41_401712,5
11_41_401713,5
11_41_401716,5
11_41_401730,5
11_41_401731,5
11_41_401732,5
11_41_401735,5
11_41_401740,5
11_41_401742,5
11_41_401744,5
11_41_401759,5
11_41_401760,5
11_41_401768,5
11_41_401769,5
11_41_401780,5
11_41_401788,5
11_41_401789,5
11_41_401791,5
11_41_401796,5
11_41_401797,5
11_41_401804,5
11_41_401821,5
11_41_401824,5
11_41_401837,5
11_41_401844,5
11_41_401857,5
11_41_401858,5
11_41_401860,5
11_41_401872,5
11_41_401887,1
11_41_401889,5
11_41_401920,5
11_41_401927,5
11_41_401942,5
11_41_401943,5
11_41_401945,5
11_41_401977,5
11_41_401986,5
11_41_401987,5
11_41_401991,5
11_41_401994,5
11_41_401999,5
11_41_402004,5
11_41_402020,5
11_41_402044,5
11_41_402053,5
11_41_402100,5
11_41_402108,5
11_41_402137,5
11_41_490688,5
11_41_490758,5
11_41_490798,5
11_41_490801,5
11_41_490818,5
11_41_490902,5
11_41_511195,4
11_42_921089,5
11_42_941321,4
11_42_950933,4
11_42_960513,5
