sample,label
5_17_380460,1
5_17_380518,1
5_17_380548,1
5_17_380660,1
5_17_380687,1
5_17_380704,1
5_17_380789,1
5_17_380809,1
5_17_380872,1
5_17_380877,2
5_17_380894,1
5_17_380934,1
5_17_380942,1
5_17_380950,1
5_17_380978,1
5_17_380979,1
5_17_380986,1
5_17_380998,2
5_17_381019,1
5_17_381027,1
5_17_381064,1
5_17_381078,1
5_17_381087,1
5_17_381090,1
5_17_381241,3
5_17_391081,4
5_17_391089,4
5_17_391127,4
5_17_391142,4
5_17_391165,4
5_17_391180,4
5_17_391211,4
5_17_391216,4
5_17_391222,4
5_17_391226,4
5_17_391229,4
5_17_391234,4
5_17_391236,4
5_17_391238,4
5_17_391242,4
5_17_391244,4
5_17_391255,4
5_17_391264,4
5_17_391291,4
5_17_400820,2
5_17_400934,2
5_17_400943,1
5_17_400958,3
5_17_401081,1
5_17_401108,2
5_17_401118,2
5_17_401197,1
5_17_401263,3
5_17_401330,1
5_17_401375,1
5_17_401377,2
5_17_401398,2
5_17_401446,1
5_17_401472,1
5_17_401487,1
5_17_401493,2
5_17_401494,1
5_17_401500,2
5_17_401552,3
5_17_401553,1
5_17_401591,1
5_17_401594,1
5_17_401618,1
5_17_401654,2
5_17_401761,1
5_17_481569,3
5_17_490272,3
5_17_490299,2
5_17_490364,3
5_17_490392,3
5_17_490496,2
5_17_500715,4
5_17_500823,4
5_17_500856,4
5_17_500954,4
5_17_500992,4
5_17_501019,4
5_17_501026,4
5_17_501071,4
5_17_510987,2
5_17_511048,2
5_17_511076,2
5_17_511098,2
5_17_511165,1
5_17_511186,1
5_17_511242,2
5_17_511277,1
5_17_511290,3
5_17_511316,2
5_17_590858,3
5_17_590874,3
5_17_591710,3
5_17_591740,3
5_17_591776,3
5_17_610868,4
5_17_621071,3
5_17_621270,3
5_17_621280,3
5_17_621298,3
5_17_621302,3
5_17_621322,3
5_17_621680,3
5_17_621740,3
5_17_630792,3
5_17_630810,3
5_17_720314,5
5_17_720329,5
5_17_720515,5
5_17_740666,3
5_18_1150822,1
5_18_1150851,1
5_18_1150881,1
5_18_1150937,1
5_18_1150942,1
5_18_1150975,1
5_18_1150982,3
5_18_1150984,2
5_18_1150986,1
5_18_1151016,3
5_18_1151044,2
5_18_1151063,1
5_18_1151102,1
5_18_1151167,1
5_18_1161199,4
5_18_1161217,4
5_18_1161240,4
5_18_1161246,4
5_18_1161252,4
5_18_1170961,1
5_18_1171019,1
5_18_1171075,1
5_18_1171078,1
5_18_1240575,3
5_18_1260384,2
5_18_1260496,2
5_18_1260583,1
5_18_1260700,1
5_18_1260780,1
5_18_1260783,1
5_18_1260790,1
5_18_1260793,1
5_18_1260808,1
5_18_1260829,2
5_18_1260839,1
5_18_1260842,1
5_18_1260849,2
5_18_1260866,1
5_18_1260911,1
5_18_1260913,1
5_18_1260918,1
5_18_1260921,2
5_18_1260933,1
5_18_1260944,1
5_18_1260962,2
5_18_1260968,1
5_18_1261010,1
5_18_1261023,1
5_18_1261041,1
5_18_1261049,2
5_18_1261083,1
5_18_1261195,1
5_18_1271004,5
5_18_1271281,4
5_18_1271282,4
5_18_1271362,4
5_18_1271377,4
5_18_1271384,4
5_18_1271391,4
5_18_1271394,4
5_18_1271408,4
5_18_1271410,4
5_18_1271411,4
5_18_1271460,4
5_18_1271466,4
5_18_1271470,4
5_18_1271529,4
5_18_1281049,3
5_18_1281162,2
5_18_1281179,3
5_18_1281327,1
5_18_1281482,1
5_18_1281495,1
5_18_1281514,1
5_18_1281526,1
5_18_1281548,2
5_18_1281549,1
5_18_1281559,1
5_18_1281560,1
5_18_1281582,1
5_18_1281593,1
5_18_1281629,1
5_18_1281637,2
5_18_1281649,2
5_18_1281654,1
5_18_1281656,1
5_18_1281672,1
5_18_1281676,1
5_18_1281694,1
5_18_1281716,1
5_18_1281732,1
5_18_1281739,1
5_18_1281754,1
5_18_1281793,2
5_18_1281832,2
5_18_1281836,3
5_18_1281872,1
5_18_1281878,1
5_18_1282278,3
5_18_1290163,3
5_18_1361874,3
5_18_1361898,3
5_18_1370083,3
5_18_1380752,4
5_18_1380755,5
5_18_1380771,4
5_18_1380969,4
5_18_1380977,4
5_18_1381005,4
5_18_1381019,4
5_18_1381067,4
5_18_1381144,4
5_18_1391139,3
5_18_1391155,3
5_18_1391162,3
5_18_1391382,3
5_18_1400233,3
5_18_1400264,3
5_18_1470619,3
5_18_1470657,3
5_18_1470682,3
5_18_1470709,3
5_18_1471611,3
5_18_1471717,5
5_18_1480124,5
5_18_1490556,5
5_18_1490732,5
5_18_1490734,5
5_18_1490767,5
5_18_1490874,4
5_18_1501725,3
5_18_1510247,3
5_18_1510446,3
5_18_1510484,3
5_18_1510531,1
5_18_1511016,5
5_18_1511199,3
5_18_1600270,5
5_18_1600320,5
5_18_1600339,5
5_19_1810289,3
5_19_2030270,1
5_19_2030319,1
5_19_2041963,3
5_19_2050258,1
5_19_2050293,1
5_19_2050569,1
5_19_2050599,1
5_19_2131561,2
5_19_2131779,1
5_19_2131824,2
5_19_2131844,2
5_19_2131854,1
5_19_2131909,1
5_19_2131932,2
5_19_2132056,1
5_19_2132072,2
5_19_2132093,1
5_19_2132100,1
5_19_2132110,1
5_19_2132119,3
5_19_2132129,1
5_19_2132141,1
5_19_2132143,3
5_19_2132181,1
5_19_2132182,1
5_19_2132186,1
5_19_2132205,1
5_19_2132207,1
5_19_2132212,2
5_19_2132229,1
5_19_2132256,1
5_19_2132257,1
5_19_2132268,1
5_19_2132274,1
5_19_2132275,1
5_19_2132278,2
5_19_2140173,3
5_19_2140178,2
5_19_2140184,1
5_19_2140198,3
5_19_2140209,1
5_19_2140232,2
5_19_2140237,3
5_19_2140239,1
5_19_2140308,1
5_19_2140339,2
5_19_2140344,1
5_19_2140349,2
5_19_2140360,2
5_19_2140367,1
5_19_2140380,1
5_19_2140474,1
5_19_2140548,1
5_19_2150472,4
5_19_2150490,4
5_19_2150521,4
5_19_2150538,4
5_19_2150548,4
5_19_2150551,4
5_19_2150579,4
5_19_2150583,4
