UMAP1,UMAP2
-1.4354533164256047,-3.4569215716172406
-1.2272988764994572,-2.2543969095994183
-1.9869169203989934,-3.071694845085258
-1.4075476138346623,-3.1989302576829144
-1.651361366962714,-1.9027624071885296
-1.7585207431071233,-3.6542763651658245
-1.7562865226023625,-2.0204334200669476
-1.337241312717719,-3.4238071383286663
-0.6038595645182561,-2.2040595949937054
-3.9487070052378606,-0.28058766735088314
-1.6975687949412297,-3.801571840171928
-0.8291901557200383,-2.1910500468064495
-1.2090047805064152,-2.6840472163010785
-1.2766245810740422,-1.5900068224717328
-1.6313208548777531,-2.4389424265671917
-1.0094024150126408,-2.110935205345268
-2.231212040638251,-2.2996616305161663
-2.9066800086253117,-0.8191385210801312
-1.5573047606699895,-1.1478652895737835
-2.064970871662421,-3.310222619896049
-1.921159884189887,-1.8602461756516644
-1.9400559870951604,-3.6246747912217328
-1.5512665717356633,-3.559970849876518
-1.4537147490733098,-3.6498608530808636
-1.9860083071940373,0.004480844612007484
5.678028682017999,3.346482297654038
5.869037726665216,3.2518435774992756
5.553511956477838,3.038031762714272
5.360554316783624,3.1723363234351925
6.121228793407159,3.3465257047365955
6.023854831004815,2.727330928916817
5.142172435069757,4.538663273925668
5.387605050349908,4.088371461505776
5.174148419643121,4.461313730354195
5.369153836513238,4.296916371459847
5.169824937129693,4.56003821479786
5.213712552333551,4.522993093604928
5.423340419078546,4.1806743203352745
5.389795163417535,4.312717324371224
5.409995654369073,4.003134494895821
5.20301041915484,4.5063308535765465
5.341939070964532,3.9512435852240375
5.708863833690362,3.191581299776917
5.805869677806573,2.642202949399834
-3.8010224311106633,0.8804035245131305
-3.808404823993964,-0.900312417869682
-0.45256771728925216,-2.084642881279106
-1.3345257251017522,0.45109701740253483
-2.264358422016425,-2.5145974100876995
-3.721769711231513,-0.5952358187485882
-3.9590758292429875,0.16710925685871159
-2.4089712111704777,-2.534883016471977
-2.0298084227793645,-0.28943848026287045
-1.1657284705393742,-2.346761697654838
-1.8448053805582951,-1.5414009035874554
-2.8984583823435734,-0.7987868727494427
-4.095466992115302,0.8185820637892536
-0.7628675906413029,-1.253149503593559
-2.1674550978892277,-2.905679220085258
-0.8133970706217717,-2.741899961357231
-3.8943132369273137,0.26399660694110905
-1.4368385283701848,-2.8762779177476117
