sample,label
5_17_380460,1
5_17_380518,2
5_17_380548,1
5_17_380660,1
5_17_380687,2
5_17_380704,1
5_17_380789,2
5_17_380809,1
5_17_380872,2
5_17_380877,3
5_17_380894,1
5_17_380934,2
5_17_380942,1
5_17_380950,2
5_17_380978,2
5_17_380979,2
5_17_380986,1
5_17_380998,3
5_17_381019,2
5_17_381027,1
5_17_381064,2
5_17_381078,1
5_17_381087,1
5_17_381090,1
5_17_381241,4
5_17_400820,3
5_17_400934,3
5_17_400943,1
5_17_400958,4
5_17_401081,1
5_17_401108,3
5_17_401118,3
5_17_401197,1
5_17_401263,4
5_17_401330,2
5_17_401375,2
5_17_401377,3
5_17_401398,3
5_17_401446,2
5_17_401472,1
5_17_401487,1
5_17_401493,3
5_17_401494,1
5_17_401500,3
5_17_401552,4
5_17_401553,1
5_17_401591,1
5_17_401594,2
5_17_401618,2
5_17_401654,3
5_17_401761,2
5_17_481569,5
5_17_490272,3
5_17_490299,1
5_17_490364,4
5_17_490392,5
5_17_490496,3
5_17_510987,3
5_17_511048,3
5_17_511076,3
5_17_511098,3
5_17_511165,2
5_17_511186,2
5_17_511242,3
5_17_511277,2
5_17_511290,5
5_17_511316,3
5_17_590858,5
5_17_590874,5
5_17_591710,4
5_17_591740,5
5_17_591776,5
5_17_621071,5
5_17_621270,5
5_17_621280,4
5_17_621298,4
5_17_621302,4
5_17_621322,4
5_17_621680,4
5_17_621740,5
5_17_630792,4
5_17_630810,4
5_17_740666,5
5_18_1150822,2
5_18_1150851,1
5_18_1150881,2
5_18_1150937,2
5_18_1150942,1
5_18_1150975,2
5_18_1150982,5
5_18_1150984,3
5_18_1150986,1
5_18_1151016,4
5_18_1151044,3
5_18_1151063,1
5_18_1151102,2
5_18_1151167,1
5_18_1170961,1
5_18_1171019,1
5_18_1171075,1
5_18_1171078,1
5_18_1240575,5
5_18_1260384,3
5_18_1260496,3
5_18_1260583,1
5_18_1260700,1
5_18_1260780,1
5_18_1260783,2
5_18_1260790,1
5_18_1260793,1
5_18_1260808,2
5_18_1260829,3
5_18_1260839,2
5_18_1260842,2
5_18_1260849,3
5_18_1260866,1
5_18_1260911,2
5_18_1260913,2
5_18_1260918,2
5_18_1260921,1
5_18_1260933,2
5_18_1260944,2
5_18_1260962,3
5_18_1260968,2
5_18_1261010,1
5_18_1261023,2
5_18_1261041,2
5_18_1261049,3
5_18_1261083,2
5_18_1261195,1
5_18_1281049,4
5_18_1281162,2
5_18_1281179,4
5_18_1281327,2
5_18_1281482,2
5_18_1281495,2
5_18_1281514,1
5_18_1281526,1
5_18_1281548,3
5_18_1281549,1
5_18_1281559,2
5_18_1281560,1
5_18_1281582,1
5_18_1281593,2
5_18_1281629,1
5_18_1281637,3
5_18_1281649,3
5_18_1281654,2
5_18_1281656,2
5_18_1281672,1
5_18_1281676,1
5_18_1281694,1
5_18_1281716,2
5_18_1281732,1
5_18_1281739,1
5_18_1281754,1
5_18_1281793,2
5_18_1281832,3
5_18_1281836,4
5_18_1281872,2
5_18_1281878,2
5_18_1282278,4
5_18_1290163,5
5_18_1361874,4
5_18_1361898,4
5_18_1370083,4
5_18_1391139,5
5_18_1391155,5
5_18_1391162,4
5_18_1391382,4
5_18_1400233,5
5_18_1400264,4
5_18_1470619,5
5_18_1470657,4
5_18_1470682,5
5_18_1470709,4
5_18_1471611,5
5_18_1501725,5
5_18_1510247,5
5_18_1510446,4
5_18_1510484,4
5_18_1510531,1
5_18_1511199,5
5_19_1810289,5
5_19_2030270,2
5_19_2030319,2
5_19_2041963,4
5_19_2050258,2
5_19_2050293,1
5_19_2050569,1
5_19_2050599,1
5_19_2131561,3
5_19_2131779,2
5_19_2131824,3
5_19_2131844,3
5_19_2131854,1
