sample,label
5_17_60613,5
5_17_60626,2
5_17_60632,5
5_17_60635,5
5_17_60636,5
5_17_60637,5
5_17_60648,5
5_17_60675,3
5_17_60689,5
5_17_60693,5
5_17_60741,6
5_17_60742,5
5_17_60744,5
5_17_60755,5
5_17_60774,6
5_17_60780,5
5_17_60781,6
5_17_60783,5
5_17_60800,5
5_17_60804,2
5_17_60807,2
5_17_60812,6
5_17_60825,5
5_17_60837,6
5_17_60841,6
5_17_60844,5
5_17_60846,5
5_17_60858,5
5_17_60860,5
5_17_60863,5
5_17_60864,2
5_17_60865,2
5_17_60874,2
5_17_60881,5
5_17_60892,2
5_17_60893,2
5_17_60908,4
5_17_60911,2
5_17_60912,2
5_17_60942,5
5_17_60952,6
5_17_60953,5
5_17_60957,5
5_17_60966,5
5_17_60983,6
5_17_60986,6
5_17_60991,2
5_17_61003,5
5_17_61025,5
5_17_61026,6
5_17_61027,2
5_17_61038,6
5_17_61046,5
5_17_61054,6
5_17_61062,5
5_17_61068,5
5_17_61090,2
5_17_61095,5
5_17_61100,5
5_17_61104,5
5_17_61127,2
5_17_61139,5
5_17_61143,5
5_17_61150,4
5_17_61160,5
5_17_61172,6
5_17_61176,6
5_17_61180,5
5_17_61197,5
5_17_61201,5
5_17_61208,8
5_17_61225,5
5_17_61240,2
5_17_61242,5
5_17_61243,5
5_17_61244,5
5_17_61256,5
5_17_61261,5
5_17_61266,5
5_17_61272,5
5_17_61274,6
5_17_61289,5
5_17_61295,6
5_17_61308,6
5_17_61316,5
5_17_61327,2
5_17_61338,5
5_17_61346,2
5_17_61351,5
5_17_61352,5
5_17_61360,6
5_17_61386,5
5_17_61399,2
5_17_61406,5
5_17_61417,6
5_17_61422,2
5_17_61430,5
5_17_61446,5
5_17_61459,5
5_17_61466,2
5_17_61478,5
5_17_61492,6
5_17_61505,5
5_17_61525,6
5_17_61539,5
5_17_61542,6
5_17_61562,6
5_17_61566,5
5_17_61571,9
5_17_61581,6
5_17_61592,5
5_17_61612,5
5_17_61642,5
5_17_61652,2
5_17_61688,5
5_17_61698,2
5_17_61708,5
5_17_61710,6
5_17_61717,6
5_17_61724,2
5_17_61729,2
5_17_61734,5
5_17_61737,5
5_17_61741,2
5_17_61744,2
5_17_61753,2
5_17_70117,5
5_17_70169,5
5_17_70173,2
5_17_70228,2
5_17_70231,5
5_17_70257,5
5_17_70282,2
5_17_70284,2
5_17_70325,6
5_17_80563,6
5_17_80566,6
5_17_80573,6
5_17_80605,2
5_17_80620,6
5_17_80633,6
5_17_80641,5
5_17_80644,5
5_17_80657,6
5_17_80665,2
5_17_80671,6
5_17_80686,6
5_17_80691,6
5_17_80694,6
5_17_80702,3
5_17_80705,6
5_17_80710,5
5_17_80718,2
5_17_80720,6
5_17_80727,5
5_17_80728,5
5_17_80732,2
5_17_80741,5
5_17_80743,2
5_17_80751,6
5_17_80754,5
5_17_80759,3
5_17_80773,6
5_17_80776,2
5_17_80791,3
5_17_80795,5
5_17_80801,5
5_17_80802,6
5_17_80804,5
5_17_80807,5
5_17_80808,2
5_17_80810,5
5_17_80812,5
5_17_80821,5
5_17_80822,5
5_17_80824,5
5_17_80826,5
5_17_80830,5
5_17_80837,5
5_17_80841,5
5_17_80844,2
5_17_80846,5
5_17_80850,5
5_17_80854,5
5_17_80857,5
5_17_80859,6
5_17_80862,5
5_17_80864,6
5_17_80868,5
5_17_80873,5
5_17_80874,5
5_17_80875,5
5_17_80879,5
5_17_80883,5
5_17_80888,6
5_17_80895,5
5_17_80897,2
5_17_80900,5
5_17_80902,5
5_17_80906,5
5_17_80907,5
5_17_80910,5
5_17_80912,5
5_17_80917,5
5_17_80924,5
5_17_80926,5
5_17_80934,6
5_17_80938,5
5_17_80942,5
5_17_80949,5
5_17_80950,5
5_17_80952,5
5_17_80955,5
5_17_80956,5
5_17_80959,5
5_17_80960,6
