sample,label
11_41_60953,1
11_41_60954,7
11_41_60958,3
11_41_60965,1
11_41_60978,7
11_41_60982,2
11_41_60987,7
11_41_60991,1
11_41_60993,8
11_41_60998,8
11_41_61015,4
11_41_61034,1
11_41_61047,1
11_41_61059,4
11_41_61066,1
11_41_61067,4
11_41_61078,1
11_41_61079,1
11_41_61082,8
11_41_61094,1
11_41_61098,8
11_41_61099,1
11_41_61102,7
11_41_61109,4
11_41_61114,4
11_41_61117,4
11_41_61121,4
11_41_61127,1
11_41_61140,1
11_41_70173,4
11_41_70179,2
11_41_70190,1
11_41_70216,5
11_41_70229,4
11_41_70236,1
11_41_70247,1
11_41_70248,3
11_41_70250,4
11_41_70262,1
11_41_70264,5
11_41_70287,1
11_41_70290,4
11_41_70291,1
11_41_70305,6
11_41_70310,1
11_41_70313,1
11_41_70338,7
11_41_70345,4
11_41_70347,1
11_41_70349,7
11_41_70355,7
11_41_70356,1
11_41_70366,4
11_41_70372,7
11_41_70377,4
11_41_70380,4
11_41_70394,7
11_41_70403,4
11_41_70410,7
11_41_70413,7
11_41_70417,1
11_41_70426,4
11_41_70427,7
11_41_70428,1
11_41_70429,7
11_41_70445,3
11_41_70447,5
11_41_70458,5
11_41_70463,1
11_41_70464,7
11_41_70472,7
11_41_70489,4
11_41_70497,4
11_41_70509,1
11_41_70511,7
11_41_70521,4
11_41_70523,4
11_41_70550,2
11_41_70555,2
11_41_70556,2
11_41_70574,1
11_41_70580,2
11_41_70581,2
11_41_70588,2
11_41_70589,2
11_41_70599,2
11_41_70603,3
11_41_70604,2
11_41_70608,2
11_41_70610,2
11_41_70621,2
11_41_70624,2
11_41_70631,1
11_41_70632,1
11_41_70634,2
11_41_70636,2
11_41_70639,2
11_41_70641,2
11_41_70645,2
11_41_70646,2
11_41_70647,2
11_41_70650,2
11_41_70652,2
11_41_70668,1
11_41_70671,2
11_41_70679,2
11_41_70687,2
11_41_70692,2
11_41_70693,2
11_41_70694,1
11_41_70701,2
11_41_70702,2
11_41_70709,2
11_41_70710,2
11_41_70719,5
11_41_70721,2
11_41_70727,2
11_41_70733,2
11_41_70734,2
11_41_70741,2
11_41_70749,2
11_41_70751,2
11_41_70754,2
11_41_70758,2
11_41_70759,2
11_41_70762,2
11_41_70771,2
11_41_70789,7
11_41_70792,4
11_41_70802,2
11_41_70804,2
11_41_70811,4
11_41_70832,2
11_41_70834,2
11_41_70850,2
11_41_70862,2
11_41_70874,3
11_41_70900,2
11_41_70906,2
11_41_70908,1
11_41_70909,2
11_41_70945,1
11_41_70946,2
11_41_70947,2
11_41_70951,3
11_41_70953,2
11_41_70965,5
11_41_70976,2
11_41_70989,1
11_41_70995,2
11_41_71000,1
11_41_71015,2
11_41_71021,2
11_41_71023,4
11_41_71026,2
11_41_71033,2
11_41_71038,2
11_41_80063,2
11_41_80087,2
11_41_80103,2
11_41_80113,3
11_41_80127,2
11_41_80136,2
11_41_80153,2
11_41_80155,2
11_41_80176,2
11_41_80178,2
11_41_80276,1
11_41_80310,1
11_41_80323,1
11_41_80335,1
11_41_80348,1
11_41_80353,1
11_41_80370,2
11_41_80390,2
11_41_130222,6
11_41_140014,1
11_41_140075,1
11_41_140084,4
11_41_140101,4
11_41_140110,4
11_41_140117,4
11_41_140127,1
11_41_140130,1
11_41_140137,1
11_41_140153,4
11_41_140158,4
11_41_140159,4
11_41_140163,4
11_41_140177,4
11_41_140198,4
11_41_140205,4
11_41_140216,4
11_41_140230,4
11_41_140279,3
11_41_140281,4
11_41_140307,3
11_41_140323,4
11_41_140369,1
11_41_140390,7
11_41_140401,1
11_41_140413,1
11_41_140430,1
11_41_140431,1
11_41_140438,4
11_41_140447,4
11_41_140459,1
11_41_140462,4
11_41_140472,7
11_41_140473,4
11_41_140492,1
11_41_140496,1
11_41_140515,4
11_41_140527,1
11_41_140538,4
11_41_140539,4
11_41_140541,4
11_41_140556,4
11_41_140566,4
11_41_140567,4
11_41_140574,4
11_41_140579,4
11_41_140580,1
11_41_140582,4
11_41_140583,1
11_41_140621,1
11_41_140622,4
11_41_140626,1
11_41_140631,4
11_41_140633,4
11_41_140634,1
11_41_140643,1
11_41_140647,2
11_41_140648,4
11_41_140657,4
11_41_140660,4
11_41_140692,6
11_41_140713,1
11_41_140720,4
11_41_140729,4
11_41_140751,4
11_41_140759,4
11_41_150116,4
11_41_150118,4
11_41_150176,4
11_41_150232,4
11_41_150233,4
11_41_150234,4
11_41_150246,4
11_41_150254,4
11_41_150264,4
11_41_150269,4
11_41_150280,9
11_41_150281,4
11_41_150294,1
11_41_150305,4
11_41_150318,4
11_41_150324,5
11_41_150334,1
11_41_150357,1
11_41_150358,1
11_41_150367,4
11_41_150380,4
11_41_150386,4
11_41_150391,4
11_41_150397,4
11_41_150403,4
11_41_150407,4
11_41_150418,4
11_41_150424,4
11_41_150456,1
11_41_150461,4
11_41_150463,4
11_41_150467,4
11_41_150468,4
11_41_150479,4
11_41_150480,4
11_41_150488,4
11_41_150508,4
11_41_150515,4
11_41_150518,4
11_41_150528,6
11_41_150530,4
11_41_150537,4
11_41_150538,7
11_41_150540,4
11_41_150545,2
11_41_150549,4
11_41_150551,7
11_41_150563,8
11_41_150573,6
11_41_150574,2
11_41_150581,7
11_41_150596,4
11_41_150602,4
11_41_150604,4
11_41_150621,4
11_41_150622,4
11_41_150626,4
11_41_150640,1
11_41_150651,2
11_41_150653,2
11_41_150681,8
11_41_150702,5
11_41_150704,2
11_41_150705,4
11_41_150709,7
11_41_150715,1
11_41_150716,2
11_41_150722,2
11_41_150723,7
11_41_150729,1
11_41_150733,1
11_41_150739,5
11_41_150748,1
11_41_150749,5
11_41_150751,1
11_41_150752,4
11_41_150755,2
11_41_150759,5
11_41_150760,1
11_41_150761,2
11_41_150766,2
11_41_150771,4
11_41_150775,1
11_41_150779,1
11_41_150784,2
11_41_150789,1
11_41_150792,2
11_41_150797,7
11_41_150806,2
11_41_150812,2
11_41_150817,2
11_41_150819,4
11_41_150820,1
11_41_150823,1
11_41_150825,1
11_41_150827,2
11_41_150829,1
11_41_150843,1
11_41_150844,4
11_41_150846,1
11_41_150847,4
11_41_150852,7
11_41_150854,4
11_41_150857,2
11_41_150859,2
11_41_150863,1
11_41_150870,2
11_41_150878,6
11_41_150884,2
11_41_150893,4
11_41_150913,2
11_41_150918,1
11_41_150919,1
11_41_150925,7
11_41_150930,1
11_41_150934,2
11_41_150937,2
11_41_150939,1
11_41_150940,2
11_41_150953,1
11_41_150962,1
11_41_150968,6
11_41_150982,4
11_41_150983,7
11_41_150984,2
11_41_150986,1
11_41_150998,8
11_41_151002,2
11_41_151004,8
11_41_151006,8
11_41_151008,1
11_41_151012,2
11_41_151014,2
11_41_151020,2
11_41_151024,8
11_41_151034,4
11_41_151037,8
11_41_151042,1
11_41_151045,7
11_41_151049,6
11_41_151064,4
11_41_151075,2
11_41_151079,2
11_41_151081,4
11_41_151084,3
11_41_151089,6
11_41_151094,2
11_41_151095,6
11_41_151099,2
11_41_151101,2
11_41_151104,8
11_41_151108,1
11_41_151111,2
11_41_151113,2
11_41_151124,1
11_41_151127,1
11_41_151136,4
11_41_151137,2
11_41_151138,4
11_41_151150,1
11_41_151152,7
11_41_151153,2
11_41_151165,2
11_41_151174,2
11_41_151178,4
11_41_151200,2
11_41_151211,2
11_41_151215,4
11_41_151219,2
11_41_151222,2
11_41_151224,2
11_41_151228,2
11_41_151232,2
11_41_151234,2
11_41_151235,2
11_41_151237,2
11_41_151241,1
11_41_151244,1
11_41_151246,1
11_41_151254,4
11_41_151255,4
11_41_151259,2
11_41_151262,6
11_41_151267,3
11_41_151279,2
11_41_151289,4
11_41_151291,2
11_41_151297,1
11_41_151303,6
11_41_151304,2
11_41_151308,2
11_41_151317,1
11_41_151319,4
11_41_151320,1
11_41_151323,6
11_41_151327,2
11_41_151332,2
11_41_151334,4
11_41_151335,2
11_41_151341,2
11_41_151348,2
11_41_151354,2
11_41_151361,2
11_41_151368,2
11_41_151387,2
11_41_151388,7
11_41_151389,4
11_41_151391,6
11_41_151396,2
11_41_151399,2
11_41_151402,2
11_41_151403,1
11_41_151412,7
11_41_151416,2
11_41_151417,4
11_41_151419,4
11_41_151435,2
11_41_151440,2
11_41_151447,2
11_41_151450,2
11_41_151453,4
11_41_151456,2
11_41_151458,1
11_41_151468,2
11_41_151469,2
11_41_151476,2
11_41_160064,2
11_41_160085,4
11_41_160096,7
11_41_160108,2
11_41_160133,1
11_41_160153,2
11_41_160174,2
11_41_160189,2
11_41_160190,1
11_41_160193,2
11_41_160203,2
11_41_160211,2
11_41_160212,1
11_41_160214,2
11_41_160223,4
11_41_160230,2
11_41_160233,7
11_41_160238,4
11_41_160245,2
11_41_160247,6
11_41_160248,4
11_41_160261,4
11_41_160266,2
11_41_160271,2
11_41_160281,2
11_41_160290,6
11_41_160297,2
11_41_160300,2
11_41_160306,4
11_41_160308,1
11_41_160316,2
11_41_160317,2
11_41_160318,2
11_41_160330,6
11_41_160331,7
11_41_160336,6
11_41_160338,7
11_41_160342,4
11_41_160346,1
11_41_160350,1
11_41_160355,2
11_41_160356,1
11_41_160357,2
